Flow ID: 192.168.1.168-83.51.94.53-1123-0-17, True Label: UDP Flood, Predicted Label: Here are the classification results:
Flow ID: 192.168.1.168-83.51.94.53-1123-0-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-33509-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-54123-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.168-17.117.75.182-3430-0-17, True Label: UDP Flood, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-54724-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-55009-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.183-255.255.255.255-49154-6667-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-54230-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-46244-53-17, True Label: UDP Flood, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-43129-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.183-100.21.156.247-25390-8886-6, True Label: UDP Flood, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-52888-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-60406-53-17, True Label: UDP Flood, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-50927-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.211-192.168.1.1-41314-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.183-255.255.255.255-49154-6667-17, True Label: Benign, Predicted Label: Benign
Flow ID: 192.168.1.211-192.168.1.1-33109-53-17, True Label: UDP Flood, Predicted Label: Mixed results from classifiers.
Flow ID: 192.168.1.168-173.88.220.220-34257-0-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.168-192.168.1.1-33478-53-17, True Label: UDP Flood, Predicted Label: UDP Flood
Flow ID: 192.168.1.168-83.51.94.53-1123-0-17, True Label: UDP Flood, Predicted Label: : UDP Flood**
Flow ID: 192.168.1.182-239.255.255.250-62669-1900-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-39061-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-47583-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.182-239.255.255.250-56657-1900-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 209.206.49.216-192.168.1.87-30001-39893-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.185-34.160.144.191-55566-443-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.81-239.255.255.250-60683-1900-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.185-34.149.100.209-47452-443-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.81-3.223.131.1-44414-443-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.25-239.255.255.250-49448-1900-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.11-224.0.0.22-0-0-0, True Label: Benign, Predicted Label: : ICMP Flood**
Flow ID: 192.168.1.11-239.255.255.250-1900-1900-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.207-142.250.65.174-47041-443-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 104.126.117.162-192.168.1.249-443-49296-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.45-192.168.1.11-40766-995-6, True Label: Benign, Predicted Label: : Ping Sweep**
Flow ID: 192.168.1.172-157.240.241.55-58092-443-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-39894-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.182-10.210.146.113-51911-7680-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-35641-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 54.156.230.89-192.168.1.81-443-33462-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.183-255.255.255.255-49154-6667-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-60645-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.211-192.168.1.1-53322-53-17, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.182-10.50.20.2-63428-7680-6, True Label: Benign, Predicted Label: : Benign**
Flow ID: 192.168.1.7-54.230.163.97-46572-443-6, True Label: Benign, Predicted Label: : Benign**
