line_number: 0, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 1, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 2, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 3, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 4, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 5, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 6, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 7, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 8, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 9, True Label: DDoS-RSTFINFlood, Predicted Label: DDoS-RSTFINFlood
line_number: 10, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 10, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 11, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 11, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 12, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 12, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 13, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 13, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 14, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 14, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 15, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 15, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 16, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 16, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 17, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 17, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 18, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 18, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 19, True Label: DoS-TCP_Flood, Predicted Label: DoS-TCP_Flood
line_number: 19, True Label: DoS-TCP_Flood, Predicted Label: DDoS-TCP_Flood
line_number: 20, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 21, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 22, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 23, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 24, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 25, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 26, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 27, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 28, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 29, True Label: DDoS-ICMP_Flood, Predicted Label: DDoS-ICMP_Flood
line_number: 30, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 31, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 32, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 33, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 33, True Label: DoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 34, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 35, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 35, True Label: DoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 36, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 36, True Label: DoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 37, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 37, True Label: DoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 38, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 38, True Label: DoS-UDP_Flood, Predicted Label: DDoS-UDP_Flood
line_number: 39, True Label: DoS-UDP_Flood, Predicted Label: DoS-UDP_Flood
line_number: 40, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 40, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 41, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 41, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 42, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 42, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 43, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 43, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 44, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 44, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 45, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 45, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 46, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 46, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 47, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 47, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 48, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 48, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 49, True Label: DoS-SYN_Flood, Predicted Label: DoS-SYN_Flood
line_number: 49, True Label: DoS-SYN_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 50, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 51, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 52, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 53, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 54, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 55, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 56, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 57, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 58, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 59, True Label: Mirai-greeth_flood, Predicted Label: Mirai-greeth_flood
line_number: 60, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 60, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 61, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 61, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 62, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 62, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 63, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 63, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 64, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 64, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 65, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 65, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 66, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 66, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 67, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 67, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 68, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 68, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 69, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DoS-SYN_Flood
line_number: 69, True Label: DDoS-SynonymousIP_Flood, Predicted Label: DDoS-SYN_Flood
line_number: 70, True Label: Mirai-udpplain, Predicted Label: DoS-UDP_Flood
