line_number: 360, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 361, True Label: Recon-PortScan, Predicted Label: Recon-OSScan
line_number: 362, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 363, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 364, True Label: Recon-PortScan, Predicted Label: Recon-HostDiscovery
line_number: 365, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 366, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 367, True Label: Recon-PortScan, Predicted Label: Recon-HostDiscovery
line_number: 368, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 369, True Label: Recon-PortScan, Predicted Label: DDoS-SYN_Flood
line_number: 370, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 371, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 372, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 373, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 374, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 375, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 376, True Label: Recon-PortScan, Predicted Label: DoS-SYN_Flood
line_number: 377, True Label: Recon-PortScan, Predicted Label: Recon-PortScan
line_number: 378, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 379, True Label: Recon-PortScan, Predicted Label: BenignTraffic
line_number: 400, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 401, True Label: Recon-OSScan, Predicted Label: Recon-PortScan
line_number: 402, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 403, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 404, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 405, True Label: Recon-OSScan, Predicted Label: Recon-OSScan
line_number: 406, True Label: Recon-OSScan, Predicted Label: Recon-HostDiscovery
line_number: 407, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 408, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 409, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 410, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 411, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 412, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 413, True Label: Recon-OSScan, Predicted Label: Recon-OSScan
line_number: 414, True Label: Recon-OSScan, Predicted Label: Recon-HostDiscovery
line_number: 415, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 416, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 417, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 418, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 419, True Label: Recon-OSScan, Predicted Label: BenignTraffic
line_number: 440, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 441, True Label: Recon-HostDiscovery, Predicted Label: Recon-HostDiscovery
line_number: 442, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
line_number: 443, True Label: Recon-HostDiscovery, Predicted Label: BenignTraffic
