Class,Recall,Precision,F-Score
BenignTraffic,0.89,0.20,0.33
DDoS-ACK_Fragmentation,1.00,0.95,0.97
DDoS-HTTP_Flood,0.60,0.86,0.71
DDoS-ICMP_Flood,1.00,1.00,1.00
DDoS-ICMP_Fragmentation,1.00,1.00,1.00
DDoS-PSHACK_Flood,1.00,1.00,1.00
DDoS-RSTFINFlood,1.00,1.00,1.00
DDoS-SYN_Flood,0.95,0.59,0.73
DDoS-SlowLoris,0.65,0.93,0.76
DDoS-SynonymousIP_Flood,0.65,0.87,0.74
DDoS-TCP_Flood,1.00,0.50,0.67
DDoS-UDP_Flood,1.00,0.61,0.75
DDoS-UDP_Fragmentation,0.95,1.00,0.97
DoS-HTTP_Flood,0.88,0.83,0.86
DoS-SYN_Flood,0.70,0.74,0.72
DoS-TCP_Flood,0.00,0.00,0.00
DoS-UDP_Flood,0.35,1.00,0.52
MITM-ArpSpoofing,0.47,1.00,0.64
Mirai-greeth_flood,0.95,1.00,0.97
Mirai-greip_flood,1.00,0.95,0.97
Mirai-udpplain,1.00,0.95,0.98
Recon-HostDiscovery,0.37,0.54,0.44
Recon-OSScan,0.10,0.40,0.16
Recon-PingSweep,0.00,0.00,0.00
Recon-PortScan,0.27,0.75,0.40

Metric,Macro Average,Weighted Average
Recall,0.71,0.71
Precision,0.75,0.75
F-Score,0.69,0.69
