,Precision,Precision,Precision,Precision,Precision,Precision,Precision,Recall,Recall,Recall,Recall,Recall,Recall,Recall,F1-Score,F1-Score,F1-Score,F1-Score,F1-Score,F1-Score,F1-Score
Model,Decision Tree,K-Nearest Neighbors,Logistic Regression,MLP,Random Forest,Support Vector Classifier,Voting Classifier,Decision Tree,K-Nearest Neighbors,Logistic Regression,MLP,Random Forest,Support Vector Classifier,Voting Classifier,Decision Tree,K-Nearest Neighbors,Logistic Regression,MLP,Random Forest,Support Vector Classifier,Voting Classifier
Class,,,,,,,,,,,,,,,,,,,,,
BenignTraffic,0.25,0.23,0.17,0.22,0.22,0.18,0.21,0.8,0.95,0.95,0.9,0.9,0.95,0.9,0.39,0.37,0.29,0.35,0.35,0.3,0.34
DDoS-ACK_Fragmentation,0.95,0.91,0.91,0.87,0.91,0.95,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.95,0.95,0.93,0.95,0.98,0.95
DDoS-HTTP_Flood,0.61,0.8,0.6,0.83,0.72,0.83,0.8,0.55,0.4,0.15,0.75,0.65,0.25,0.6,0.58,0.53,0.24,0.79,0.68,0.38,0.69
DDoS-ICMP_Flood,0.95,0.91,0.95,0.91,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,0.95,0.98,0.95,1.0,1.0,1.0
DDoS-ICMP_Fragmentation,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDoS-PSHACK_Flood,1.0,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,1.0
DDoS-RSTFINFlood,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
DDoS-SYN_Flood,0.6,0.25,0.47,0.62,0.63,0.5,0.61,0.9,0.05,0.95,0.9,0.95,0.9,0.95,0.72,0.08,0.63,0.73,0.76,0.64,0.75
DDoS-SlowLoris,0.93,0.87,0.0,1.0,1.0,0.86,1.0,0.65,0.65,0.0,0.8,0.65,0.3,0.65,0.76,0.74,0.0,0.89,0.79,0.44,0.79
DDoS-SynonymousIP_Flood,0.76,0.87,0.65,0.81,0.87,0.58,0.87,0.65,0.65,0.75,0.65,0.65,0.75,0.65,0.7,0.74,0.7,0.72,0.74,0.65,0.74
DDoS-TCP_Flood,0.54,0.25,0.49,0.5,0.54,0.5,0.51,0.95,0.05,1.0,1.0,0.95,1.0,0.95,0.69,0.08,0.66,0.67,0.69,0.67,0.67
DDoS-UDP_Flood,0.58,0.5,0.62,0.61,0.58,0.59,0.58,0.9,0.15,1.0,1.0,0.9,1.0,0.9,0.71,0.23,0.77,0.75,0.71,0.74,0.71
DDoS-UDP_Fragmentation,1.0,0.95,0.95,1.0,1.0,1.0,1.0,0.95,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.95,0.95,0.97,0.97,0.97,0.97
DoS-HTTP_Flood,0.79,0.83,0.92,0.85,0.73,0.94,0.81,0.55,0.75,0.6,0.85,0.8,0.85,0.85,0.65,0.79,0.73,0.85,0.76,0.89,0.83
DoS-SYN_Flood,0.59,0.4,0.42,0.81,0.82,0.71,0.74,0.65,0.95,0.25,0.65,0.7,0.25,0.7,0.62,0.57,0.31,0.72,0.76,0.37,0.72
DoS-TCP_Flood,0.8,0.46,0.0,0.0,0.8,0.0,0.67,0.2,0.85,0.0,0.0,0.2,0.0,0.1,0.32,0.6,0.0,0.0,0.32,0.0,0.17
DoS-UDP_Flood,0.8,0.51,0.89,1.0,0.78,1.0,0.78,0.4,0.9,0.4,0.35,0.35,0.3,0.35,0.53,0.65,0.55,0.52,0.48,0.46,0.48
MITM-ArpSpoofing,0.59,0.82,0.5,0.9,0.82,0.82,1.0,0.5,0.45,0.05,0.45,0.45,0.45,0.45,0.54,0.58,0.09,0.6,0.58,0.58,0.62
Macro Avg,0.73,0.69,0.62,0.72,0.77,0.75,0.77,0.71,0.66,0.62,0.71,0.72,0.66,0.71,0.69,0.63,0.57,0.69,0.7,0.64,0.69
Mirai-greeth_flood,0.95,0.95,0.86,1.0,1.0,1.0,1.0,0.95,1.0,0.95,0.95,0.95,1.0,0.95,0.95,0.98,0.9,0.97,0.97,1.0,0.97
Mirai-greip_flood,0.95,1.0,0.94,0.95,0.95,1.0,0.95,1.0,0.95,0.85,1.0,1.0,1.0,1.0,0.98,0.97,0.89,0.98,0.98,1.0,0.98
Mirai-udpplain,0.91,0.95,1.0,0.95,0.95,1.0,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.98,1.0,0.98,0.98,1.0,0.98
Recon-HostDiscovery,0.52,0.64,0.47,0.62,0.69,0.55,0.57,0.55,0.35,0.35,0.4,0.45,0.3,0.4,0.54,0.45,0.4,0.48,0.55,0.39,0.47
Recon-OSScan,0.57,0.57,0.2,0.0,0.33,1.0,0.5,0.2,0.2,0.05,0.0,0.1,0.05,0.1,0.3,0.3,0.08,0.0,0.15,0.1,0.17
Recon-PingSweep,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Recon-PortScan,0.67,0.62,0.6,0.67,0.86,0.67,0.71,0.3,0.25,0.15,0.2,0.3,0.2,0.25,0.41,0.36,0.24,0.31,0.44,0.31,0.37
Weighted Avg,0.74,0.7,0.63,0.73,0.77,0.75,0.77,0.71,0.66,0.62,0.72,0.72,0.66,0.71,0.69,0.64,0.58,0.69,0.71,0.64,0.7
